basis_kind,method,cells,mean_auroc,mean_average_precision,mean_top_decile_lift
saelens_sae,per_query_rf,12,0.9717542852695032,0.7165765288783349,9.389151455404049
saelens_sae,embedding_comp,12,0.9588026068421159,0.3533938091009501,8.321385195406622
saelens_sae,output_comp,12,0.8964990867462993,0.15695813354537627,6.3646407553877
saelens_sae,pca_comp,12,0.9214365761952097,0.11426549019067683,6.882045535539763
saelens_sae,internal,12,0.8860736469807636,0.05479844158631455,5.999735162702692
saelens_sae,random_comp,12,0.8127269658124413,0.050248386281266016,4.351676001463124
saelens_sae,input_concept_comp,12,0.8313946379570458,0.03766126279201647,4.572616151504572
saelens_sae,output_active,12,0.8239338738043968,0.03197106612975278,4.522854042105195
sklearn_sdl,per_query_rf,12,0.9717542852695032,0.7165765288783349,9.389151455404049
sklearn_sdl,embedding_comp,12,0.9588026068421159,0.3533938091009501,8.321385195406622
sklearn_sdl,output_comp,12,0.8964990867462993,0.15695813354537627,6.3646407553877
sklearn_sdl,pca_comp,12,0.9214365761952097,0.11426549019067683,6.882045535539763
sklearn_sdl,internal,12,0.8714219845620718,0.0757364108457561,5.383788221312706
sklearn_sdl,random_comp,12,0.8127269658124413,0.050248386281266016,4.351676001463124
sklearn_sdl,input_concept_comp,12,0.8313946379570458,0.03766126279201647,4.572616151504572
sklearn_sdl,output_active,12,0.8239338738043968,0.03197106612975278,4.522854042105195
spd,per_query_rf,12,0.9717542852695032,0.7165765288783349,9.389151455404049
spd,embedding_comp,12,0.9588026068421159,0.3533938091009501,8.321385195406622
spd,output_comp,12,0.8964990867462993,0.15695813354537627,6.3646407553877
spd,pca_comp,12,0.9214365761952097,0.11426549019067683,6.882045535539763
spd,internal,12,0.9031250718936517,0.07806828386373746,6.95943809847251
spd,random_comp,12,0.8127269658124413,0.050248386281266016,4.351676001463124
spd,input_concept_comp,12,0.8313946379570458,0.03766126279201647,4.572616151504572
spd,output_active,12,0.8239338738043968,0.03197106612975278,4.522854042105195
